Problem1,InitialLB,Initial UB,Best Solution,Is Optimal,ERR,Run time
,1601,1601,1601,1,0,0
,Problem94,,,,,
,1610,1611,1611,0,0.000621118,120
,1610,1611,1611,0,0.000621118,120
,1610,1611,1611,0,0.000621118,0.143
,Problem95,,,,,
,1635,1635,1635,1,0,0
,1635,1635,1635,1,0,0
,1635,1635,1635,1,0,0
,Problem96,,,,,
,1634,1634,1634,1,0,0
,1634,1634,1634,1,0,0
,1634,1634,1634,1,0,0
,Problem97,,,,,
,1741,1757,1741,1,0,0.003
,1741,1757,1741,1,0,0.003
,1741,1757,1741,1,0,0.002
,Problem98,,,,,
,1616,1616,1616,1,0,0
,1616,1616,1616,1,0,0
,1616,1616,1616,1,0,0
,Problem99,,,,,
,1461,1463,1461,1,0,0.001
,1461,1463,1461,1,0,0.001
,1461,1463,1461,1,0,0.001
,Problem100,,,,,
,1584,1584,1584,1,0,0
,1584,1584,1584,1,0,0
,1584,1584,1584,1,0,0
,Problem101,,,,,
,1682,1682,1682,1,0,0
,1682,1682,1682,1,0,0
,1682,1682,1682,1,0,0
,Problem102,,,,,
,1580,1580,1580,1,0,0
,1580,1580,1580,1,0,0
,1580,1580,1580,1,0,0
,Problem103,,,,,
,1761,1761,1761,1,0,0
,1761,1761,1761,1,0,0
,1761,1761,1761,1,0,0
,Problem104,,,,,
,1646,1646,1646,1,0,0
,1646,1646,1646,1,0,0
,1646,1646,1646,1,0,0
,Problem105,,,,,
,1662,1662,1662,1,0,0
,1662,1662,1662,1,0,0
,1662,1662,1662,1,0,0
,Problem106,,,,,
,1627,1627,1627,1,0,0
,1627,1627,1627,1,0,0
,1627,1627,1627,1,0,0
,Problem107,,,,,
,1609,1609,1609,1,0,0
,1609,1609,1609,1,0,0
,1609,1609,1609,1,0,0
,Problem108,,,,,
,1651,1651,1651,1,0,0
,1651,1651,1651,1,0,0
,1651,1651,1651,1,0,0
,Problem109,,,,,
,1621,1621,1621,1,0,0
,1621,1621,1621,1,0,0
,1621,1621,1621,1,0,0
,Problem110,,,,,
,1580,1580,1580,1,0,0
,1580,1580,1580,1,0,0
,1580,1580,1580,1,0,0
,Problem111,,,,,
,1730,1730,1730,1,0,0
,1730,1730,1730,1,0,0
,1730,1730,1730,1,0,0
,Problem112,,,,,
,1664,1664,1664,1,0,0
,1664,1664,1664,1,0,0
,1664,1664,1664,1,0,0
,Problem113,,,,,
,1678,1678,1678,1,0,0
,1678,1678,1678,1,0,0
,1678,1678,1678,1,0,0
,Problem114,,,,,
,1681,1681,1681,1,0,0
,1681,1681,1681,1,0,0
,1681,1681,1681,1,0,0
,Problem115,,,,,
,1695,1695,1695,1,0,0
,1695,1695,1695,1,0,0
,1695,1695,1695,1,0,0
,Problem116,,,,,
,1583,1588,1583,1,0,0.001
