Problem1,InitialLB,Initial UB,Best Solution,Is Optimal,ERR,Run time
,Problem91,,,,,
,2034,2034,2034,1,0,0
,2034,2034,2034,1,0,0
,2034,2034,2034,1,0,0
,Problem92,,,,,
,1984,1990,1990,0,0.00302419,120
,1984,1990,1990,0,0.00302419,120
,1984,1990,1990,0,0.00302419,0.374
,Problem93,,,,,
,2061,2061,2061,1,0,0
,2061,2061,2061,1,0,0
,2061,2061,2061,1,0,0
,Problem94,,,,,
,2048,2074,2068,0,0.00976563,120
,2048,2074,2068,0,0.00976563,120
,2048,2074,2068,0,0.00976563,0.34
,Problem95,,,,,
,2278,2289,2278,1,0,0.002
,2278,2289,2278,1,0,0.002
,2278,2289,2278,1,0,0.001
,Problem96,,,,,
,1957,1957,1957,1,0,0
,1957,1957,1957,1,0,0
,1957,1957,1957,1,0,0
,Problem97,,,,,
,2085,2085,2085,1,0,0
,2085,2085,2085,1,0,0
,2085,2085,2085,1,0,0
,Problem98,,,,,
,1988,1991,1991,0,0.00150905,120
,1988,1991,1991,0,0.00150905,120
,1988,1991,1991,0,0.00150905,0.258
,Problem99,,,,,
,2151,2151,2151,1,0,0
,2151,2151,2151,1,0,0
,2151,2151,2151,1,0,0
,Problem100,,,,,
,2025,2025,2025,1,0,0
,2025,2025,2025,1,0,0
,2025,2025,2025,1,0,0
,Problem101,,,,,
,1990,1990,1990,1,0,0
,1990,1990,1990,1,0,0
,1990,1990,1990,1,0,0
,Problem102,,,,,
,2056,2056,2056,1,0,0
,2056,2056,2056,1,0,0
,2056,2056,2056,1,0,0
,Problem103,,,,,
,2046,2046,2046,1,0,0
,2046,2046,2046,1,0,0
,2046,2046,2046,1,0,0
,Problem104,,,,,
,2180,2180,2180,1,0,0
,2180,2180,2180,1,0,0
,2180,2180,2180,1,0,0
,Problem105,,,,,
,2096,2096,2096,1,0,0
,2096,2096,2096,1,0,0
,2096,2096,2096,1,0,0
,Problem106,,,,,
,2264,2264,2264,1,0,0
,2264,2264,2264,1,0,0
,2264,2264,2264,1,0,0
,Problem107,,,,,
,2090,2090,2090,1,0,0
,2090,2090,2090,1,0,0
,2090,2090,2090,1,0,0
,Problem108,,,,,
,2222,2246,2222,1,0,0.006
,2222,2246,2222,1,0,0.004
,2222,2246,2222,1,0,0.003
,Problem109,,,,,
,2113,2113,2113,1,0,0
,2113,2113,2113,1,0,0
,2113,2113,2113,1,0,0
,Problem110,,,,,
,2129,2129,2129,1,0,0
,2129,2129,2129,1,0,0
,2129,2129,2129,1,0,0
,Problem111,,,,,
,2036,2036,2036,1,0,0
,2036,2036,2036,1,0,0
,2036,2036,2036,1,0,0
,Problem112,,,,,
,2025,2025,2025,1,0,0
,2025,2025,2025,1,0,0
,2025,2025,2025,1,0,0
,Problem113,,,,,
,2158,2207,2168,1,0,0.015
,2158,2207,2168,1,0,0.011
,2158,2207,2168,1,0,0.006
,Problem114,,,,,
,2159,2159,2159,1,0,0
,2159,2159,2159,1,0,0
,2159,2159,2159,1,0,0
,Problem115,,,,,
,2167,2167,2167,1,0,0
,2167,2167,2167,1,0,0
,2167,2167,2167,1,0,0
,Problem116,,,,,
,2111,2111,2111,1,0,0
,2111,2111,2111,1,0,0
,2111,2111,2111,1,0,0
,Problem117,,,,,
,2112,2112,2112,1,0,0
,2112,2112,2112,1,0,0
,2112,2112,2112,1,0,0
,Problem118,,,,,
,2094,2094,2094,1,0,0
,2094,2094,2094,1,0,0
,2094,2094,2094,1,0,0
,Problem119,,,,,
,2158,2158,2158,1,0,0
,2158,2158,2158,1,0,0
,2158,2158,2158,1,0,0
,Problem120,,,,,
,2141,2163,2153,0,0.00560486,120
,2141,2163,2153,0,0.00560486,120
,2141,2163,2153,0,0.00560486,0.425
,Problem121,,,,,
,4831,4831,4831,1,0,0
,4831,4831,4831,1,0,0
,4831,4831,4831,1,0,0
,Problem122,,,,,
,4778,4778,4778,1,0,0
,4778,4778,4778,1,0,0
,4778,4778,4778,1,0,0
,Problem123,,,,,
,4702,4702,4702,1,0,0
,4702,4702,4702,1,0,0
,4702,4702,4702,1,0,0
,Problem124,,,,,
,4774,4774,4774,1,0,0
,4774,4774,4774,1,0,0
,4774,4774,4774,1,0,0
,Problem125,,,,,
,4633,4633,4633,1,0,0
,4633,4633,4633,1,0,0
,4633,4633,4633,1,0,0
,Problem126,,,,,
,4910,4910,4910,1,0,0
,4910,4910,4910,1,0,0
,4910,4910,4910,1,0,0
,Problem127,,,,,
,4924,4924,4924,1,0,0
,4924,4924,4924,1,0,0
,4924,4924,4924,1,0,0
,Problem128,,,,,
,5044,5044,5044,1,0,0
,5044,5044,5044,1,0,0
,5044,5044,5044,1,0,0
,Problem129,,,,,
,4812,4819,4812,1,0,0.007
,4812,4819,4812,1,0,0.006
,4812,4819,4812,1,0,0.006
,Problem130,,,,,
,4697,4697,4697,1,0,0
,4697,4697,4697,1,0,0
,4697,4697,4697,1,0,0
,Problem131,,,,,
,4912,4912,4912,1,0,0
,4912,4912,4912,1,0,0
,4912,4912,4912,1,0,0
,Problem132,,,,,
,4856,4856,4856,1,0,0
,4856,4856,4856,1,0,0
,4856,4856,4856,1,0,0
,Problem133,,,,,
,4926,4926,4926,1,0,0
,4926,4926,4926,1,0,0
,4926,4926,4926,1,0,0
,Problem134,,,,,
,5072,5072,5072,1,0,0
,5072,5072,5072,1,0,0
,5072,5072,5072,1,0,0
,Problem135,,,,,
,4659,4659,4659,1,0,0
,4659,4659,4659,1,0,0
,4659,4659,4659,1,0,0
,Problem136,,,,,
,4855,4855,4855,1,0,0
,4855,4855,4855,1,0,0
,4855,4855,4855,1,0,0
,Problem137,,,,,
,4972,4972,4972,1,0,0
,4972,4972,4972,1,0,0
,4972,4972,4972,1,0,0
,Problem138,,,,,
,4956,4956,4956,1,0,0
,4956,4956,4956,1,0,0
,4956,4956,4956,1,0,0
,Problem139,,,,,
,4543,4543,4543,1,0,0
,4543,4543,4543,1,0,0
,4543,4543,4543,1,0,0
,Problem140,,,,,
,5137,5137,5137,1,0,0
,5137,5137,5137,1,0,0
,5137,5137,5137,1,0,0
,Problem141,,,,,
,5151,5151,5151,1,0,0
,5151,5151,5151,1,0,0
,5151,5151,5151,1,0,0
,Problem142,,,,,
,4851,4852,4852,0,0.000206143,120
,4851,4852,4852,0,0.000206143,120
,4851,4852,4852,0,0.000206143,3.839
,Problem143,,,,,
,5145,5146,5146,0,0.000194363,120
,5145,5146,5146,0,0.000194363,120
,5145,5146,5146,0,0.000194363,3.923
,Problem144,,,,,
,4843,4845,4845,0,0.000412967,120
,4843,4845,4845,0,0.000412967,120
,4843,4845,4845,0,0.000412967,3.905
,Problem145,,,,,
,4831,4831,4831,1,0,0
,4831,4831,4831,1,0,0
,4831,4831,4831,1,0,0
,Problem146,,,,,
,5042,5042,5042,1,0,0
,5042,5042,5042,1,0,0
,5042,5042,5042,1,0,0
,Problem147,,,,,
,4838,4838,4838,1,0,0
,4838,4838,4838,1,0,0
,4838,4838,4838,1,0,0
